都道府県,市区町村,店舗名・施設名,分類,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL,説明・狙い目,公式サイト,Googleマップ,雰囲気,公式検索,地図検索名,参照
北海道,札幌市中央区,札幌市図書・情報館,都心型図書館,【レポ】創世スクエア内 札幌図書・情報館に行ってみた！口コミ情報,https://fortwenty.hatenablog.com/entry/review-johokan,,,,,"仕事と課題解決に重点を置く都心型の閲覧空間。
狙い目：閲覧席と情報を探す動線の関係に注目。仕事や課題解決に使う場所として、滞在と通行がどう分かれるかを見る。",https://www.sapporo-community-plaza.jp/library.html,https://www.google.com/maps/search/?api=1&query=%E6%9C%AD%E5%B9%8C%E5%B8%82%E5%9B%B3%E6%9B%B8%E3%83%BB%E6%83%85%E5%A0%B1%E9%A4%A8%20%E5%8C%97%E6%B5%B7%E9%81%93%20%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA,都心型図書館,,,公式サイト：https://www.sapporo-community-plaza.jp/library.html
宮城県,仙台市青葉区,せんだいメディアテーク,複合文化・図書館,せんだいメディアテーク（内部）,https://ameblo.jp/tatemono/entry-10047450394.html,,,,,"透明な外観とチューブ状構造を持つ複合文化施設。
狙い目：透明な外観越しの見通しと、チューブ状の構造が各階で見せる重なりを比べたい。",http://www.smt.jp/,https://www.google.com/maps/search/?api=1&query=%E3%81%9B%E3%82%93%E3%81%A0%E3%81%84%E3%83%A1%E3%83%87%E3%82%A3%E3%82%A2%E3%83%86%E3%83%BC%E3%82%AF%20%E5%AE%AE%E5%9F%8E%E7%9C%8C%20%E4%BB%99%E5%8F%B0%E5%B8%82%E9%9D%92%E8%91%89%E5%8C%BA,複合文化・図書館,,,公式サイト：http://www.smt.jp/
栃木県,那須塩原市,那須塩原市図書館 みるる,駅前図書館,那須塩原市図書館「みるる」,https://structure-explorer.hatenablog.com/entry/miruru,,,,,"本棚と展示が連続する駅前の公共空間。
狙い目：本棚と展示の境目をたどり、駅前の公共空間が読書の場所へ変わる過程を見る。",https://www.nasushiobara-library.jp/,https://www.google.com/maps/search/?api=1&query=%E9%82%A3%E9%A0%88%E5%A1%A9%E5%8E%9F%E5%B8%82%E5%9B%B3%E6%9B%B8%E9%A4%A8%20%E3%81%BF%E3%82%8B%E3%82%8B%20%E6%A0%83%E6%9C%A8%E7%9C%8C%20%E9%82%A3%E9%A0%88%E5%A1%A9%E5%8E%9F%E5%B8%82,駅前図書館,,,公式サイト：https://www.nasushiobara-library.jp/
群馬県,太田市,太田市美術館・図書館,美術館・図書館,名建築を歩く　平田晃久「太田市美術館･図書館」（群馬県）,https://ameblo.jp/hituzou/entry-12953550861.html,,,,,"美術館と図書館がスロープ状に連続する複合施設。
狙い目：スロープを移動する際の視線の高さと、図書・美術の用途が切り替わる地点に注目。",http://www.artmuseumlibraryota.jp/,https://www.google.com/maps/search/?api=1&query=%E5%A4%AA%E7%94%B0%E5%B8%82%E7%BE%8E%E8%A1%93%E9%A4%A8%E3%83%BB%E5%9B%B3%E6%9B%B8%E9%A4%A8%20%E7%BE%A4%E9%A6%AC%E7%9C%8C%20%E5%A4%AA%E7%94%B0%E5%B8%82,美術館・図書館,,,公式サイト：http://www.artmuseumlibraryota.jp/
東京都,北区,北区立中央図書館,歴史建築・図書館,北区中央図書館,https://ameblo.jp/cs03yamamoto/entry-12144403438.html,,,,,"旧陸軍の赤レンガ倉庫を取り込んだ図書館。
狙い目：赤レンガの旧倉庫部分と図書館として使う部分の接し方を観察する。古い用途と新しい利用の重なりが対象。",https://www.library.city.kita.tokyo.jp/viewer/info.html?id,https://www.google.com/maps/search/?api=1&query=%E5%8C%97%E5%8C%BA%E7%AB%8B%E4%B8%AD%E5%A4%AE%E5%9B%B3%E6%9B%B8%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E5%8C%97%E5%8C%BA,歴史建築・図書館,,,公式サイト：https://www.library.city.kita.tokyo.jp/viewer/info.html?id
東京都,板橋区,板橋区立中央図書館,公園一体型図書館,【ゆる日記】　2026.04.05. 板橋区立中央図書館に行った記録,https://note.com/clever_lynx1673/n/n99f2391f0dae,,,,,"公園と連続し、ボローニャ絵本館を併設。
狙い目：公園から館内へ入る流れと、絵本を扱う区画の配置を見る。屋外の緑と閲覧空間の関係に注目。",https://www.city.itabashi.tokyo.jp/library/,https://www.google.com/maps/search/?api=1&query=%E6%9D%BF%E6%A9%8B%E5%8C%BA%E7%AB%8B%E4%B8%AD%E5%A4%AE%E5%9B%B3%E6%9B%B8%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%9D%BF%E6%A9%8B%E5%8C%BA,公園一体型図書館,,,公式サイト：https://www.city.itabashi.tokyo.jp/library/
石川県,金沢市,金沢海みらい図書館,図書館建築,旅日記511～海みらい図書館行ってみた!!～,https://ameblo.jp/tatsunootoshigogo5/entry-12970251440.html,,,,,"多数の円窓と大きな一室空間を持つ図書館。
狙い目：円窓から入る光と大きな一室の奥行きを見たい。書架の間から外壁を見たときの窓の反復も対象。",https://www.lib.kanazawa.ishikawa.jp/,https://www.google.com/maps/search/?api=1&query=%E9%87%91%E6%B2%A2%E6%B5%B7%E3%81%BF%E3%82%89%E3%81%84%E5%9B%B3%E6%9B%B8%E9%A4%A8%20%E7%9F%B3%E5%B7%9D%E7%9C%8C%20%E9%87%91%E6%B2%A2%E5%B8%82,図書館建築,,,公式サイト：https://www.lib.kanazawa.ishikawa.jp/
石川県,金沢市,石川県立図書館,図書館建築,石川県立図書館に行ってきました！こんな面白い図書館初めて！,https://kunpuu5.com/ishikawa-prefectural-library/,,,,,"円形劇場のような大閲覧空間「グレートホール」と段状の書架を持つ図書館。最上部には一周約160mの回廊式閲覧空間「リング」がある。
狙い目：異なる高さからの書架の重なりと、回廊から大空間を見渡す視線。",https://www.library.pref.ishikawa.lg.jp/,https://www.google.com/maps/search/?api=1&query=%E7%9F%B3%E5%B7%9D%E7%9C%8C%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8%20%E7%9F%B3%E5%B7%9D%E7%9C%8C%20%E9%87%91%E6%B2%A2%E5%B8%82,図書館建築,,,"公式サイト：https://www.library.pref.ishikawa.lg.jp/
公式資料：https://www.library.pref.ishikawa.lg.jp/areanavi/spot/ring/"
富山県,富山市,富山市立図書館本館,複合文化・図書館,【日本の美しい図書館】隈研吾氏設計！富山市立図書館（TOYAMAキラリ）,https://note.com/soltanad/n/n86ec98e671d2,,,,,"吹抜けを中心に美術館と同居する複合施設。
狙い目：吹抜けを挟んだ各階の見え方と、美術館・図書館をつなぐ動線を観察する。",http://www.library.toyama.toyama.jp/,https://www.google.com/maps/search/?api=1&query=%E5%AF%8C%E5%B1%B1%E5%B8%82%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8%E6%9C%AC%E9%A4%A8%20%E5%AF%8C%E5%B1%B1%E7%9C%8C%20%E5%AF%8C%E5%B1%B1%E5%B8%82,複合文化・図書館,,,公式サイト：http://www.library.toyama.toyama.jp/
長野県,小布施町,小布施町立図書館 まちとしょテラソ,地域図書館,小布施の美しい図書館「まちとしょテラソ」行ってきました,https://ameblo.jp/nangsupaap/entry-12817940694.html,,,,,"曲面屋根と開放的なワンルームを持つ町立図書館。
狙い目：曲面屋根の下で、書架と閲覧席がどう一室を分けているかを見る。屋根の形を感じられる位置が狙い目。",https://www.town.obuse.nagano.jp/lib/index.html,https://www.google.com/maps/search/?api=1&query=%E5%B0%8F%E5%B8%83%E6%96%BD%E7%94%BA%E7%AB%8B%E5%9B%B3%E6%9B%B8%E9%A4%A8%20%E3%81%BE%E3%81%A1%E3%81%A8%E3%81%97%E3%82%87%E3%83%86%E3%83%A9%E3%82%BD%20%E9%95%B7%E9%87%8E%E7%9C%8C%20%E5%B0%8F%E5%B8%83%E6%96%BD%E7%94%BA,地域図書館,,,公式サイト：https://www.town.obuse.nagano.jp/lib/index.html
