都道府県,市区町村,店舗名・施設名,分類,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL,説明・狙い目,公式サイト,Googleマップ
東京都,江東区,GUNDAM Café ダイバーシティ東京プラザ店,カフェ・アニメ文化,,,,,,,"特徴・説明：ガンダム立像の近くで営業していた公式カフェ。立像自体とは別項目。
旧所在地：東京都江東区青海・ダイバーシティ東京プラザ内
開業年：2012年（竣工・移転等の扱いは特徴・説明参照）
消滅年：2022年
消滅種別：閉店
現在の状態：2022年1月30日営業終了。
資料URL：https://www.gundam.info/news/hot-topics/01_6811.html | https://www.timeout.jp/tokyo/ja/news/all-gundam-cafes-in-japan-will-be-closing-by-early-2022-110421
Googleマップ検索用名称：GUNDAM Café ダイバーシティ東京プラザ店 東京都江東区",https://www.gundam.info/news/hot-topics/01_6811.html,https://www.google.com/maps/search/?api=1&query=GUNDAM%20Caf%C3%A9%20%E3%83%80%E3%82%A4%E3%83%90%E3%83%BC%E3%82%B7%E3%83%86%E3%82%A3%E6%9D%B1%E4%BA%AC%E3%83%97%E3%83%A9%E3%82%B6%E5%BA%97%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%9D%B1%E5%8C%BA
東京都,江東区,Zepp Tokyo,ライブハウス,,,,,,,"特徴・説明：お台場の大規模ライブハウス。2022年1月1日営業終了。
旧所在地：東京都江東区青海・パレットタウン内
開業年：1999年（竣工・移転等の扱いは特徴・説明参照）
消滅年：2022年
消滅種別：閉館
現在の状態：当該会場は営業終了。Zepp DiverCity等とは別施設。
資料URL：https://www.zepp.co.jp/news/4586/ | https://www.watch.impress.co.jp/docs/topic/1375576.html
Googleマップ検索用名称：Zepp Tokyo 東京都江東区",https://www.zepp.co.jp/news/4586/,https://www.google.com/maps/search/?api=1&query=Zepp%20Tokyo%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%9D%B1%E5%8C%BA
東京都,江東区,STUDIO COAST（USEN STUDIO COAST）,ライブハウス・クラブ,,,,,,,"特徴・説明：ライブとクラブイベントageHaの会場。借地契約満了に伴い営業終了。
旧所在地：東京都江東区新木場2-2-10
開業年：2002年（竣工・移転等の扱いは特徴・説明参照）
消滅年：2022年
消滅種別：閉館
現在の状態：新木場の施設は閉館。ageHaというイベント名の継続とは区別。
資料URL：https://prtimes.jp/main/html/rd/p/000000011.000049856.html | https://www.timeout.jp/tokyo/ja/news/studio-coast-closed-081221 | https://www.livewalker.com/web/detail/8952
Googleマップ検索用名称：STUDIO COAST（USEN STUDIO COAST） 東京都江東区",,https://www.google.com/maps/search/?api=1&query=STUDIO%20COAST%EF%BC%88USEN%20STUDIO%20COAST%EF%BC%89%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%9D%B1%E5%8C%BA
東京都,江東区,東京お台場 大江戸温泉物語,温浴・テーマ施設,,,,,,,"特徴・説明：江戸の街並みを演出した温浴テーマ施設。2021年9月5日終了。
旧所在地：東京都江東区青海2-6-3
開業年：未確認（竣工・移転等の扱いは特徴・説明参照）
消滅年：2021年
消滅種別：閉館
現在の状態：当該お台場施設は閉館。ほかの同社施設とは区別。
資料URL：https://www.atpress.ne.jp/news/1078707 | https://www.city.koto.lg.jp/650102/documents/03100612.pdf
Googleマップ検索用名称：東京お台場 大江戸温泉物語 東京都江東区",,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E3%81%8A%E5%8F%B0%E5%A0%B4%20%E5%A4%A7%E6%B1%9F%E6%88%B8%E6%B8%A9%E6%B3%89%E7%89%A9%E8%AA%9E%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%9D%B1%E5%8C%BA
東京都,江東区,パレットタウン大観覧車,観覧車・展望施設,,,,,,,"特徴・説明：お台場のランドマークとなった高さ115mの観覧車。2022年8月31日終了。
旧所在地：東京都江東区青海1-3-10
開業年：1999年（竣工・移転等の扱いは特徴・説明参照）
消滅年：2022年
消滅種別：営業終了
現在の状態：営業終了。消滅年は解体完了年ではなく運行終了年。
資料URL：https://prtimes.jp/main/html/rd/p/000000001.000105631.html | https://sanoyasrides.com/?p=919
Googleマップ検索用名称：パレットタウン大観覧車 東京都江東区",,https://www.google.com/maps/search/?api=1&query=%E3%83%91%E3%83%AC%E3%83%83%E3%83%88%E3%82%BF%E3%82%A6%E3%83%B3%E5%A4%A7%E8%A6%B3%E8%A6%A7%E8%BB%8A%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%9D%B1%E5%8C%BA
東京都,江東区,MEGA WEB,企業展示施設,,,,,,,"特徴・説明：トヨタの展示・試乗を組み合わせた体験型施設。2021年12月31日閉館。
旧所在地：東京都江東区青海1-3-12
開業年：1999年（竣工・移転等の扱いは特徴・説明参照）
消滅年：2021年
消滅種別：閉館
現在の状態：閉館をトヨタ公式サイトで確認。
資料URL：https://global.toyota/en/company/profile/museums/megaweb.html | https://global.toyota/jp/newsroom/corporate/35693291.html | https://www.watch.impress.co.jp/docs/topic/1375576.html | https://global.toyota/pages/global_toyota/sustainability/esg/social-contribution/citizenship_all.pdf
Googleマップ検索用名称：MEGA WEB 東京都江東区",https://global.toyota/jp/newsroom/corporate/35693291.html,https://www.google.com/maps/search/?api=1&query=MEGA%20WEB%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%9D%B1%E5%8C%BA
東京都,江東区,ヴィーナスフォート,商業施設,,,,,,,"特徴・説明：中世ヨーロッパ風の屋内街路を持つ商業施設。2022年3月27日終了。
旧所在地：東京都江東区青海・パレットタウン内
開業年：1999年（竣工・移転等の扱いは特徴・説明参照）
消滅年：2022年
消滅種別：閉館
現在の状態：ヴィーナスフォートとしての営業終了。後継施設の開閉とは区別。
資料URL：https://www.mori.co.jp/press/release/22venusfort_thankful_carnival/ | https://www.watch.impress.co.jp/docs/topic/1375576.html
Googleマップ検索用名称：ヴィーナスフォート 東京都江東区",https://www.mori.co.jp/press/release/22venusfort_thankful_carnival/,https://www.google.com/maps/search/?api=1&query=%E3%83%B4%E3%82%A3%E3%83%BC%E3%83%8A%E3%82%B9%E3%83%95%E3%82%A9%E3%83%BC%E3%83%88%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%9D%B1%E5%8C%BA
東京都,港区,ニコファーレ,ネット文化・ライブ施設,,,,,,,"特徴・説明：映像設備とネット配信を組み合わせたイベント会場。
旧所在地：東京都港区六本木7-14-23 セントラム六本木ビル地下1階
開業年：2011年（竣工・移転等の扱いは特徴・説明参照）
消滅年：2019年
消滅種別：閉館・機能移転
現在の状態：2019年7月末営業終了。
資料URL：https://www.livewalker.com/web/detail/9952 | https://game.watch.impress.co.jp/docs/news/1197463.html
Googleマップ検索用名称：ニコファーレ 東京都港区",,https://www.google.com/maps/search/?api=1&query=%E3%83%8B%E3%82%B3%E3%83%95%E3%82%A1%E3%83%BC%E3%83%AC%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA
東京都,港区,ホテルオークラ東京 旧本館,ホテル,,,,,,,"特徴・説明：谷口吉郎らによる和の意匠で知られた本館。2015年8月に営業終了。
旧所在地：東京都港区虎ノ門2-10-4
開業年：1962年（竣工・移転等の扱いは特徴・説明参照）
消滅年：2015年
消滅種別：営業終了・建替え
現在の状態：旧本館は建替え。2019年の新施設とは区別して収録。
資料URL：https://www.okura.com/jp/news/pdf/2569_ext_02_0.pdf | https://theokuratokyo.jp/wp-content/uploads/2025/10/factbook-ja.pdf | https://www-s.jp.toto.com/com-et/jirei/2113/pdf/2113.pdf | https://prtimes.jp/main/html/rd/p/000000370.000005118.html
Googleマップ検索用名称：ホテルオークラ東京 旧本館 東京都港区",https://www.okura.com/jp/news/pdf/2569_ext_02_0.pdf,https://www.google.com/maps/search/?api=1&query=%E3%83%9B%E3%83%86%E3%83%AB%E3%82%AA%E3%83%BC%E3%82%AF%E3%83%A9%E6%9D%B1%E4%BA%AC%20%E6%97%A7%E6%9C%AC%E9%A4%A8%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA
東京都,港区,マイナビBLITZ赤坂（2代目・音楽会場時代）,ライブハウス,,,,,,,"特徴・説明：音楽ライブ会場としてのBLITZ。初代施設と区別。
旧所在地：東京都港区赤坂・赤坂サカス内
開業年：未確認（竣工・移転等の扱いは特徴・説明参照）
消滅年：2020年
消滅種別：閉館・用途変更
現在の状態：ライブ会場として閉館し、観覧機能付きスタジオへ転用。
資料URL：https://www.nikkansports.com/entertainment/news/202005020000220.html | https://www.tbs.co.jp/akasaka_entertainmentcity/
Googleマップ検索用名称：マイナビBLITZ赤坂（2代目・音楽会場時代） 東京都港区",,https://www.google.com/maps/search/?api=1&query=%E3%83%9E%E3%82%A4%E3%83%8A%E3%83%93BLITZ%E8%B5%A4%E5%9D%82%EF%BC%882%E4%BB%A3%E7%9B%AE%E3%83%BB%E9%9F%B3%E6%A5%BD%E4%BC%9A%E5%A0%B4%E6%99%82%E4%BB%A3%EF%BC%89%20%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%AF%E5%8C%BA
