都道府県,市区町村,店舗名・施設名,分類,説明・狙い目,公式サイト,Googleマップ,関連リンク1タイトル,関連リンク1URL,関連リンク2タイトル,関連リンク2URL,関連リンク3タイトル,関連リンク3URL
東京都,中野区,中野ブロードウェイ,古いビル,"商業階の奥、階段、上層への動線が強い。
狙い目：商業階の奥から階段へ移り、階ごとの用途と通路の雰囲気を比べたい。",https://nakano-broadway.com/,https://www.google.com/maps/search/?api=1&query=%E4%B8%AD%E9%87%8E%E3%83%96%E3%83%AD%E3%83%BC%E3%83%89%E3%82%A6%E3%82%A7%E3%82%A4%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E4%B8%AD%E9%87%8E%E5%8C%BA,,,,,,
東京都,新宿区,東京ニュー新宿ビルディング（新宿西口会館）,古いビル,"古い雑居・商業ビル系。
狙い目：外から見た雑居ビルの規模と、公開されている商業部の経路を比べる。",https://scb-ichibangai.com/,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E4%BA%AC%E3%83%8B%E3%83%A5%E3%83%BC%E6%96%B0%E5%AE%BF%E3%83%93%E3%83%AB%E3%83%87%E3%82%A3%E3%83%B3%E3%82%B0%EF%BC%88%E6%96%B0%E5%AE%BF%E8%A5%BF%E5%8F%A3%E4%BC%9A%E9%A4%A8%EF%BC%89%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E6%96%B0%E5%AE%BF%E5%8C%BA,,,,,,
神奈川県,横浜市中区,桜木町ぴおシティ,古いビル,"地下〜上層の昭和商業ビル感。
狙い目：地下から上層へ移る際の用途の変化を見たい。商業ビル全体を一つの移動空間として観察する。",http://www.piocity.com/,https://www.google.com/maps/search/?api=1&query=%E6%A1%9C%E6%9C%A8%E7%94%BA%E3%81%B4%E3%81%8A%E3%82%B7%E3%83%86%E3%82%A3%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%20%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA,,,,,,
東京都,多摩市,丘の上プラザ,古いビル,"多摩ニュータウンの1980年代商業核。
狙い目：商業核として周辺の歩行空間とどう接するかを見たい。施設の外と中を往復して規模感を比べる。",http://www.okanoueplaza.com/,https://www.google.com/maps/search/?api=1&query=%E4%B8%98%E3%81%AE%E4%B8%8A%E3%83%97%E3%83%A9%E3%82%B6%20%E6%9D%B1%E4%BA%AC%E9%83%BD%20%E5%A4%9A%E6%91%A9%E5%B8%82,,,,,,
愛知県,豊田市,T-FACE,古いビル,"1980年代駅前再開発ツインビル。
狙い目：二つのビルを一つの商業施設として利用する経路に注目。棟ごとの見え方を比べる。",https://www.t-face.com/,https://www.google.com/maps/search/?api=1&query=T-FACE%20%E6%84%9B%E7%9F%A5%E7%9C%8C%20%E8%B1%8A%E7%94%B0%E5%B8%82,,,,,,
北海道,札幌市中央区,サッポロファクトリー,古いビル,"1990年代巨大アトリウム。
狙い目：アトリウムを見上げる位置と横から見る位置を変え、屋内に大きな空隙をつくる構成を観察する。",https://sapporofactory.jp/,https://www.google.com/maps/search/?api=1&query=%E3%82%B5%E3%83%83%E3%83%9D%E3%83%AD%E3%83%95%E3%82%A1%E3%82%AF%E3%83%88%E3%83%AA%E3%83%BC%20%E5%8C%97%E6%B5%B7%E9%81%93%20%E6%9C%AD%E5%B9%8C%E5%B8%82%E4%B8%AD%E5%A4%AE%E5%8C%BA,,,,,,
千葉県,千葉市緑区,あすみが丘バーズモール,古いビル,"バブル期の駅前モール。カラフルな建築、空き区画、中庭 開業年：1989年。
狙い目：カラフルな外観・中庭・商業区画の関係を見たい。空き区画の状況は訪問時の姿として捉える。",https://asumigaoka-birdsmall.com/,https://www.google.com/maps/search/?api=1&query=%E3%81%82%E3%81%99%E3%81%BF%E3%81%8C%E4%B8%98%E3%83%90%E3%83%BC%E3%82%BA%E3%83%A2%E3%83%BC%E3%83%AB%20%E5%8D%83%E8%91%89%E7%9C%8C%E5%8D%83%E8%91%89%E5%B8%82%E7%B7%91%E5%8C%BA%E3%81%82%E3%81%99%E3%81%BF%E3%81%8C%E4%B8%981-20-1,,,,,,
大阪府,大阪市阿倍野区,あべのベルタ,古いビル,"バブル期再開発モール。低層商業部と豪華な内装 開業年：1987年。
狙い目：低層商業部の内装と再開発建築全体の関係を見る。装飾と日常の買い物空間が重なる点に注目。",https://abeno-belta.jp/,https://www.google.com/maps/search/?api=1&query=%E3%81%82%E3%81%B9%E3%81%AE%E3%83%99%E3%83%AB%E3%82%BF%20%E5%A4%A7%E9%98%AA%E5%BA%9C%E5%A4%A7%E9%98%AA%E5%B8%82%E9%98%BF%E5%80%8D%E9%87%8E%E5%8C%BA%E9%98%BF%E5%80%8D%E9%87%8E%E7%AD%8B3-10-1,,,,,,
兵庫県,尼崎市,出屋敷リベル,古いビル,"駅前再開発モール。空き区画の多いフロアが特徴。
狙い目：営業中の店と空き区画の並びを、訪問時の状態で観察する。駅前の移動経路との関係も対象。",http://www.t-kaihatsu.co.jp/company/,https://www.google.com/maps/search/?api=1&query=%E5%87%BA%E5%B1%8B%E6%95%B7%E3%83%AA%E3%83%99%E3%83%AB%20%E5%85%B5%E5%BA%AB%E7%9C%8C%E5%B0%BC%E5%B4%8E%E5%B8%82%E7%AB%B9%E8%B0%B7%E7%94%BA2-183,,,,,,
神奈川県,横浜市中区,イオン本牧店（旧マイカル本牧）,古いビル,"旧マイカル本牧。バブル期の大規模商業開発の痕跡 開業年：1989年。
狙い目：大規模商業開発の敷地の使い方と、現店舗までの動線に注目。旧施設の沿革と現状を分けて見る。",https://www.aeon.com/store/イオン/イオン本牧店,https://www.google.com/maps/search/?api=1&query=%E3%82%A4%E3%82%AA%E3%83%B3%E6%9C%AC%E7%89%A7%E5%BA%97%EF%BC%88%E6%97%A7%E3%83%9E%E3%82%A4%E3%82%AB%E3%83%AB%E6%9C%AC%E7%89%A7%EF%BC%89%20%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C%E6%A8%AA%E6%B5%9C%E5%B8%82%E4%B8%AD%E5%8C%BA%E6%9C%AC%E7%89%A7%E5%8E%9F7-1,,,,,,
